"abort","absolut","accept","activ","add","advanc","advic","ago","agre","ahead","amount","amp","angri","answer","anxieti","anxiou","anymor","app","appoint","appreci","appt","aren","asleep","assum","attack","babi","bad","bare","base","basic","bathroom","bed","begin","belli","birth","bit","bleed","blood","bodi","boi","born","boyfriend","break","breast","bring","broke","brother","brown","bui","bump","call","care","caus","chanc","chang","check","child","children","choic","clean","clinic","close","clot","cloth","come","comfort","commun","complet","complic","conceiv","concern","confirm","confus","constantli","context","continu","contract","control","convinc","couldn","coupl","cramp","crazi","cry","curiou","cycl","dai","daili","date","daughter","deal","decid","decis","didn","didnt","diet","differ","difficult","discharg","doctor","doesn","doesnt","don","dont","dose","drink","drop","due","earlier","easi","eat","effect","egg","embryo","emot","energi","enjoi","entir","excit","exhaust","expect","experi","experienc","explain","extra","extrem","famili","fast","father","fatigu","fear","feel","fetu","fight","figur","final","financi","fine","finish","follow","food","forc","forward","found","freak","friend","fruit","ftm","futur","gain","genuin","gestat","girl","give","gonna","grow","guess","gui","guilti","half","hand","handl","happen","happi","hard","harder","hasn","hate","haven","havent","hcg","head","headach","health","healthi","hear","heard","heart","heavi","hei","help","hit","hold","home","honestli","hope","hormon","horribl","hospit","hour","hous","huge","human","hungri","hurt","husband","idea","idk","ill","imagin","immedi","imposs","increas","induc","induct","inform","initi","insid","insight","isn","isnt","issu","januari","job","keep","kick","kid","kinda","know","lab","labor","lai","late","law","lead","learn","leav","left","leg","level","life","light","line","listen","liter","live","lol","look","lose","loss","lost","lot","love","low","lower","lucki","major","make","manag","march","marriag","matern","matter","meal","mean","measur","medic","medicin","meet","mental","mention","midwif","mild","mind","mine","minut","miscarriag","misoprostol","miss","mom","moment","mondai","monitor","month","morn","mother","move","movement","multipl","natur","nausea","nauseou","neg","nervou","new","night","normal","notic","nurs","obgyn","occur","offic","onlin","opinion","option","overwhelm","ovul","pain","panic","parent","parti","partner","pass","past","pee","peopl","period","person","phone","physic","pictur","pill","plan","posit","post","potenti","pregnanc","pregnant","prepar","pressur","pretti","previou","prior","procedur","process","push","question","rais","rant","rate","read","readi","real","realiz","reason","reassur","receiv","recent","recommend","red","relationship","relax","relief","rest","result","risk","run","sac","safe","scan","scare","schedul","school","send","sens","set","sex","share","shower","sick","sign","similar","simpli","sister","sit","situat","size","sleep","slight","slightli","son","sore","sort","sound","speak","specif","spoke","spot","stai","stand","start","stomach","stop","stori","stress","strong","struggl","sudden","suddenli","suggest","super","support","suppos","surgeri","symptom","take","talk","tell","terribl","terrifi","test","text","think","throw","time","tini","tip","tire","toilet","told","tomorrow","top","track","traumat","trimest","typic","ultrasound","uncomfort","understand","upset","uteru","visit","wait","wake","walk","wanna","wasn","wasnt","watch","water","wear","week","weekend","weight","weird","woke","women","won","wonder","wont","worri","wors","worst","wouldn","wrong","yesterdai"
0,0,0,0,0,0,0,0.0344221175643127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022401016068703,0,0,0,0,0,0,0.0549602416786036,0.06047645562372,0.0731270780698324,0.0399383315094291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574874282846996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337662596341276,0,0,0,0,0,0,0,0,0,0,0.0240942526558831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281128544128683,0,0,0,0,0,0,0,0,0,0.0502135172121224,0,0,0,0.0499537349583084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538291544791614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499537349583084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325283690482962,0,0,0,0,0,0,0,0,0.06047645562372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702106213203883,0,0,0,0,0.0358182169709665,0,0,0,0,0,0.0337662596341276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475502792174708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499537349583084,0.0358182169709665,0,0,0,0,0,0,0,0.0589139155811071,0,0.0334479144503822,0,0,0,0,0,0,0,0,0.0538291544791614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589139155811071,0,0,0,0,0,0,0,0,0,0,0.0424655181155251,0,0,0,0,0,0,0,0,0,0.0561751871776549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101680254280282,0,0,0,0,0,0,0,0,0,0,0,0,0.0508401271401411,0.0430213090300813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328291896319461,0,0,0,0.0146170930131436,0,0,0,0,0.0292928068104199,0,0,0,0.0622037635037774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261592923821497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0525285493466968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176814664107143,0,0,0,0,0,0,0,0,0.020315451866068,0,0.0631882576261513,0,0,0,0,0,0,0,0,0,0.0922877704315728,0,0,0,0,0,0.0279566547266886,0,0.0205571869856901,0,0,0,0,0,0,0,0,0.0258608739209966,0,0,0,0,0.0292421600523328,0,0,0,0,0,0,0,0,0,0.0241874252666903,0.023121387283237,0.0981482276396283,0,0,0,0,0.0826425652512244,0,0,0,0,0,0,0.0176814664107143,0,0,0,0,0.0599355441749992,0.0333984819377024,0.0221763079058793,0,0.0245120720661007,0,0,0,0.0547626080250428,0,0,0.0285746616857435,0,0,0,0,0,0,0,0.0258608739209966,0,0,0,0.0286003605587562,0,0,0,0,0,0,0,0,0,0.0255421359229293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285746616857435,0,0,0.0491878832552102,0,0.021327513753687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263375338064993,0,0,0,0.0273813040125214,0,0.0508199846974698,0.0437673432907185,0,0,0,0.0159607695977623,0,0,0,0,0,0,0,0,0,0.0299677720874996,0,0,0,0,0,0.0584843201046655,0,0,0,0,0,0,0,0,0,0,0,0,0.0249822433230483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018219671060376,0,0.0292421600523328,0,0.0249822433230483,0,0,0.0192018965022391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877264801569983,0,0,0,0.0992601972296467,0,0,0,0,0,0,0.0283703078716151,0.0443526158117586,0,0,0,0.0292421600523328,0,0,0,0,0,0,0,0.017013968044125,0.0499644866460967,0,0,0,0,0,0,0,0,0,0.015413735643207,0,0,0,0.0401610542003747,0,0,0.0316412207418059,0.0159607695977623,0.104030695676771,0,0,0,0,0,0,0.018219671060376,0,0,0.0246572800402075,0.0150752160334116,0,0,0,0,0,0,0,0,0,0,0,0,0.0218836716453593,0,0,0,0,0,0,0,0,0.0285746616857435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218836716453593,0.0421255050841009,0,0,0,0.0196296455279257,0,0,0,0.0198520394459293,0,0,0,0,0,0,0,0,0,0,0,0.127049961743675,0,0,0.0121658808015416,0,0,0,0,0,0.0437673432907185,0,0,0,0,0.0194130287335981,0.0268430993628597,0,0.0192018965022391,0,0,0,0,0,0.0333984819377024,0,0,0,0.0223058529217915,0.0316412207418059,0,0,0.0599355441749992,0,0,0,0,0,0,0,0,0,0,0,0.0241874252666903,0,0,0,0,0,0,0,0,0.0263375338064993,0,0.00443548695496951,0,0,0,0.0273813040125214,0,0,0,0,0,0,0,0,0,0.0205571869856901
0,0,0,0,0.0785518874414762,0,0,0,0,0,0,0,0,0,0.0559039375664826,0,0,0,0,0,0,0,0,0,0.08063527416496,0.0298680214249373,0,0,0,0,0,0,0,0,0,0,0,0.055209942269314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703614574208292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749676117676489,0,0,0,0,0,0,0,0,0,0.0334756781414149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749002495702066,0.0559039375664826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0.0538847477049149,0,0,0,0,0,0,0,0,0.0836731254670571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690362628564301,0,0,0,0,0,0,0,0,0.0717722059722153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508856662259466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785518874414762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785518874414762,0.0161579903293784,0.0197576694983348,0,0.0690362628564301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654837590134449,0,0,0,0.0690362628564301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785518874414762,0,0,0,0,0,0,0,0,0,0.0654837590134449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703614574208292,0,0,0.0597487344186914,0,0,0,0,0,0,0,0,0,0,0.0654837590134449,0,0,0,0,0.0690362628564301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465054086793773,0,0,0,0,0,0.0717722059722153,0,0,0,0,0,0,0,0
0.0229997108753463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336134453781513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331379535431398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363187234864484,0,0,0,0,0,0.0254550113080632,0,0,0,0.0871331860695366,0,0.0435665930347683,0,0,0,0,0,0,0.0306206402502078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406428677959422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796128671288438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134166254492959,0,0,0,0,0,0.0390240015947456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919988435013851,0,0,0,0,0,0.0259602297319083,0,0,0,0,0.0264874209533197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351632316902305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070326463380461,0,0,0,0.0264874209533197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447220848309862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830826297753552,0,0,0,0,0,0.0285372157674886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415413148876776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119021286431866,0,0,0,0,0,0,0,0,0,0,0,0.09867398996947,0,0,0,0,0,0,0,0,0,0,0.117543748057249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683965881844423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159465047472053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152805341747297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089071391626222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130932054485599,0,0.12375810541023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149801812573378,0,0,0,0,0,0,0,0.107158970802818,0,0,0,0,0,0,0,0,0.288640721827898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344008826367412,0,0,0.146980430597561,0,0,0.159465047472053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159465047472053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414936833921497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421574474087797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456160932361034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204502635907892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262666924453754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411951372636136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240747390634271,0,0,0,0.10719201542972,0,0,0,0,0,0,0,0,0,0.268132619589386,0,0,0,0,0,0,0,0.252428862138293,0,0,0,0,0,0,0,0,0,0,0,0.38698801581456,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109246203180485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124068971011872,0,0,0,0,0,0,0,0,0,0,0.121283167011826,0,0,0,0,0.0567347769383405,0,0.142857142857143,0,0,0,0,0,0.137017902418469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883546852975862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154354574817406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17655058827263,0,0,0,0.122657243719492,0,0,0,0,0,0.0986147550147458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185158020397765,0,0,0,0.112571539051609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128552216800581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122657243719492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156997452726112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122657243719492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303681340499712,0,0,0,0,0,0,0.127014048161585
0,0,0,0,0,0,0.0642142590793694,0.0704452638525469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09582079613297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756171806278131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114963173758922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114963173758922,0,0,0.0973121993287774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642142590793694,0,0,0,0,0,0,0,0,0.1634685196665,0,0.0248006363195111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361704039846797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11247677366784,0.107996655576156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179844209254671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178450986792959,0,0,0,0,0,0,0,0.120568013282266,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849692691403769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147831335969093,0,0,0.140524824695932,0,0,0,0,0.0943313521203094,0,0,0,0,0,0.140524824695932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588970620477142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137317124212045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144011793642706,0,0,0,0,0.147831335969093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120053558191316,0,0,0,0.109539346434268,0,0,0,0,0,0,0,0,0,0,0,0.112747046918155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140524824695932,0,0,0,0,0,0,0.0954000784484937,0,0,0,0,0,0,0,0,0,0,0,0.074071562952078,0,0,0,0,0,0,0,0,0,0,0,0.116234015864929,0,0,0,0,0,0,0.0296229822705271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109539346434268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357306718099067,0,0,0,0,0,0,0,0,0,0.0893775398631285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213149789780479,0,0.124275866342567,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858060437066942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247531539297087,0,0,0,0,0.1634685196665,0,0,0,0,0,0,0,0,0,0,0,0.123765769648543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157950170992146,0,0,0,0,0.0738871513615598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107996655576156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930232558139535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827068220587066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188785752979236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104044911356568,0,0,0,0,0.0973121993287774,0,0,0,0,0,0,0,0,0,0,0.0781035807188948,0.107996655576156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798698331196692,0,0.102230899449561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123765769648543,0,0,0,0,0,0.0248006363195111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880436091778408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837084202422389,0,0.0880436091778408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09582079613297,0,0.0299140508175963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178450986792959,0,0,0,0,0,0,0,0,0.0684515458519449,0,0,0,0,0
